Localidad:BARRIOS_UNIDOS,Votacion:
P_Liberal,4980
P_Conservador,2929
P_Opcion_Ciudadana,680
P_Cambio_Radical,5484
P_Alianza_Verde,19930
P_MIRA,2764
P_de_la_U,3679
Polo,4676
P_Centro_Democratico,15311
P_SOMOS,779
FARC,287
Colombia_Justa_Libres,4253
SI_SE_PUEDE,49
Union_con_Fortaleza,56
Todos_somos_Colombia,240
Coalicion_Decencia,4933
Voto_Blanco_Nacional,5427
AICO,33
ASI,103
MAIS,149
SOBERANIA,5
MIA,28
RenovacionEtnica,24
CASIYOUREN,6
Voto_Blanco_Indigena,1640
Nulos,3070
No_Marcados,906
Potencial Votantes,151739
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_012_XX_XX_X_8124_F_49.pdf
