Localidad:CANDELARIA, Votacion:
P_Liberal,2194
P_Conservador,667
P_Opcion_Ciudadana,202
P_Cambio_Radical,1791
P_Alianza_Verde,3208
P_MIRA,477
P_de_la_U,822
Polo,1814
P_Centro_Democratico,2412
P_SOMOS,117
FARC,210
Colombia_Justa_Libres,550
SI_SE_PUEDE,11
Union_con_Fortaleza,16
Todos_somos_Colombia,87
Coalicion_Decencia,2331
Voto_Blanco_Nacional,1233
AICO,19
ASI,58
MAIS,152
SOBERANIA,5
MIA,7
RenovacionEtnica,6
CASIYOUREN,0
Voto_Blanco_Indigena,486
Nulos,929
No_Marcados,519
Referencia:, http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_017_XX_XX_X_8129_F_49.pdf
