Localidad:CARCELES,Votacion:
P_Liberal,40
P_Conservador,47
P_Opcion_Ciudadana,23
P_Cambio_Radical,29
P_Alianza_Verde,86
P_MIRA,13
P_de_la_U,37
Polo,54
P_Centro_Democratico,44
P_SOMOS,1
FARC,7
Colombia_Justa_Libres,10
SI_SE_PUEDE,1
Union_con_Fortaleza,1
Todos_somos_Colombia,0
Coalicion_Decencia,36
Voto_Blanco_Nacional,61
AICO,1
ASI,0
MAIS,7
SOBERANIA,0
MIA,0
RenovacionEtnica,0
CASIYOUREN,0
Voto_Blanco_Indigena,21
Nulos,18
No_Marcados,16
Potencial Votantes,1165
Referencia:, http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_098_XX_XX_X_8134_F_49.pdf
