Localidad:CHAPINERO,Votacion:
P_Liberal,3791
P_Conservador,3822
P_Opcion_Ciudadana,422
P_Cambio_Radical,5108
P_Alianza_Verde,25557
P_MIRA,1243
P_de_la_U,2425
Polo,4616
P_Centro_Democratico,25213
P_SOMOS,418
FARC,303
Colombia_Justa_Libres,1306
SI_SE_PUEDE,44
Union_con_Fortaleza,54
Todos_somos_Colombia,165
Coalicion_Decencia,3877
Voto_Blanco_Nacional,3125
AICO,17
ASI,107
MAIS,108
SOBERANIA,6
MIA,22
RenovacionEtnica,16
CASIYOUREN,12
Voto_Blanco_Indigena,843
Nulos,1809
No_Marcados,562
Potencial Votantes,164621
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/AGE_XXX_3_16_001_002_XX_XX_X_8114_F_49.pdf
