Localidad:CIUDAD_BOLIVAR,Votacion:
P_Liberal,12239
P_Conservador,5609
P_Opcion_Ciudadana,2168
P_Cambio_Radical,13076
P_Alianza_Verde,16666
P_MIRA,7589
P_de_la_U,11406
Polo,8822
P_Centro_Democratico,20431
P_SOMOS,1181
FARC,642
Colombia_Justa_Libres,9898
SI_SE_PUEDE,184
Union_con_Fortaleza,316
Todos_somos_Colombia,1128
Coalicion_Decencia,21116
Voto_Blanco_Nacional,13314
AICO,79
ASI,133
MAIS,1087
SOBERANIA,32
MIA,59
RenovacionEtnica,88
CASIYOUREN,15
Voto_Blanco_Indigena,6509
Nulos,15437
No_Marcados,7837
Potencial Votantes,394705
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_019_XX_XX_X_8131_F_49.pdf
