Localidad:KENNEDY,Votacion:
P_Liberal,18192
P_Conservador,11982
P_Opcion_Ciudadana,4079
P_Cambio_Radical,25139
P_Alianza_Verde,57855
P_MIRA,15897
P_de_la_U,15735
Polo,20277
P_Centro_Democratico,47329
P_SOMOS,3010
FARC,1113
Colombia_Justa_Libres,16646
SI_SE_PUEDE,308
Union_con_Fortaleza,562
Todos_somos_Colombia,1293
Coalicion_Decencia,33001
Voto_Blanco_Nacional,27323
AICO,140
ASI,301
MAIS,1293
SOBERANIA,46
MIA,108
RenovacionEtnica,200
CASIYOUREN,45
Voto_Blanco_Indigena,10723
Nulos,22087
No_Marcados,7228
Potencial Votantes,635825
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_008_XX_XX_X_8120_F_49.pdf
