Localidad:MARTIRES;Votacion
P_Liberal;3708
P_Conservador;1563
P_Opcion_Ciudadana;452
P_Cambio_Radical;3005
P_Alianza_Verde;6608
P_MIRA;1472
P_de_la_U;1948
Polo;2212
P_Centro_Democratico;7396
P_SOMOS;584
FARC;208
Colombia_Justa_Libres;1536
SI_SE_PUEDE;40
Union_con_Fortaleza;48
Todos_somos_Colombia;175
Coalicion_Decencia;3123
Voto_Blanco_Nacional;2806
AICO;24
ASI;37
MAIS;124
SOBERANIA;4
MIA;6
RenovacionEtnica;15
CASIYOUREN;3
Voto_Blanco_Indigena;963
Nulos;1867
No_Marcados;890
Referencia:; http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_014_XX_XX_X_8126_F_49.pdf
