Localidad:PUENTE ARANDA,Votacion:
P_Liberal,6843
P_Conservador,4235
P_Opcion_Ciudadana,1292
P_Cambio_Radical,8653
P_Alianza_Verde,23089
P_MIRA,4978
P_de_la_U,5717
Polo,7550
P_Centro_Democratico,18812
P_SOMOS,1427
FARC,483
Colombia_Justa_Libres,6584
SI_SE_PUEDE,66
Union_con_Fortaleza,142
Todos_somos_Colombia,382
Coalicion_Decencia,9762
Voto_Blanco_Nacional,9142
AICO,53
ASI,123
MAIS,312
SOBERANIA,18
MIA,41
RenovacionEtnica,61
CASIYOUREN,15
Voto_Blanco_Indigena,3139
Nulos,5918
No_Marcados,1940
Potencial Votantes,217762
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_016_XX_XX_X_8128_F_49.pdf
