Localidad:RAFAEL_URIBE_URIBE,Votacion:
P_Liberal,8668
P_Conservador,4020
P_Opcion_Ciudadana,1469
P_Cambio_Radical,9460
P_Alianza_Verde,17248
P_MIRA,5558
P_de_la_U,6804
Polo,7186
P_Centro_Democratico,15924
P_SOMOS,910
FARC,471
Colombia_Justa_Libres,5549
SI_SE_PUEDE,158
Union_con_Fortaleza,200
Todos_somos_Colombia,477
Coalicion_Decencia,13344
Voto_Blanco_Nacional,10474
AICO,43
ASI,112
MAIS,625
SOBERANIA,15
MIA,45
RenovacionEtnica,57
CASIYOUREN,9
Voto_Blanco_Indigena,4531
Nulos,9393
No_Marcados,4077
Potencial Votantes,256913
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_018_XX_XX_X_8130_F_49.pdf
