Localidad:SANTA_FE,Votacion:
P_Liberal,3975
P_Conservador,1454
P_Opcion_Ciudadana,486
P_Cambio_Radical,2969
P_Alianza_Verde,6713
P_MIRA,1185
P_de_la_U,1470
Polo,3169
P_Centro_Democratico,5034
P_SOMOS,307
FARC,328
Colombia_Justa_Libres,1089
SI_SE_PUEDE,22
Union_con_Fortaleza,48
Todos_somos_Colombia,179
Coalicion_Decencia,3902
Voto_Blanco_Nacional,2586
AICO,17
ASI,69
MAIS,252
SOBERANIA,7
MIA,14
RenovacionEtnica,20
CASIYOUREN,8
Voto_Blanco_Indigena,1158
Nulos,2377
No_Marcados,1116
REFERENCIA:, http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_003_XX_XX_X_8115_F_49.pdf
