Localidad:SAN_CRISTOBAL,Votacion:
P_Liberal,8505
P_Conservador,5319
P_Opcion_Ciudadana,1663
P_Cambio_Radical,9899
P_Alianza_Verde,16177
P_MIRA,5953
P_de_la_U,6635
Polo,7065
P_Centro_Democratico,13617
P_SOMOS,853
FARC,480
Colombia_Justa_Libres,4960
SI_SE_PUEDE,117
Union_con_Fortaleza,178
Todos_somos_Colombia,725
Coalicion_Decencia,13734
Voto_Blanco_Nacional,10682
AICO,57
ASI,119
MAIS,749
SOBERANIA,22
MIA,44
RenovacionEtnica,72
CASIYOUREN,11
Voto_Blanco_Indigena,5197
Nulos,11086
No_Marcados,4016
Potencial Votantes,268972
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_004_XX_XX_X_8116_F_49.pdf
