Localidad:SUMAPAZ;Votacion
P_Liberal;190
P_Conservador;18
P_Opcion_Ciudadana;12
P_Cambio_Radical;88
P_Alianza_Verde;21
P_MIRA;5
P_de_la_U;9
Polo;114
P_Centro_Democratico;34
P_SOMOS;0
FARC;30
Colombia_Justa_Libres;4
SI_SE_PUEDE;0
Union_con_Fortaleza;0
Todos_somos_Colombia;5
Coalicion_Decencia;500
Voto_Blanco_Nacional;23
AICO;0
ASI;0
MAIS;0
SOBERANIA;0
MIA;0
RenovacionEtnica;1
CASIYOUREN;0
Voto_Blanco_Indigena;8
Nulos;48
No_Marcados;53
Referencia:; http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_020_XX_XX_X_8132_F_49.pdf
