Localidad:TEUSAQUILLO,Votacion:
P_Liberal,4615
P_Conservador,3404
P_Opcion_Ciudadana,661
P_Cambio_Radical,5939
P_Alianza_Verde,28750
P_MIRA,1613
P_de_la_U,3249
Polo,8159
P_Centro_Democratico,18280
P_SOMOS,929
FARC,670
Colombia_Justa_Libres,2367
SI_SE_PUEDE,72
Union_con_Fortaleza,49
Todos_somos_Colombia,213
Coalicion_Decencia,6682
Voto_Blanco_Nacional,5090
AICO,55
ASI,198
MAIS,227
SOBERANIA,16
MIA,17
RenovacionEtnica,18
CASIYOUREN,19
Voto_Blanco_Indigena,1133
Nulos,2159
No_Marcados,608
Potencial Votantes,163008
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_013_XX_XX_X_8125_F_49.pdf
