Localidad:USAQUEN,Votacion:
P_Liberal,8827
P_Conservador,9438
P_Opcion_Ciudadana,1484
P_Cambio_Radical,15245
P_Alianza_Verde,64707
P_MIRA,5384
P_de_la_U,7080
Polo,10349
P_Centro_Democratico,69439
P_SOMOS,1988
FARC,550
Colombia_Justa_Libres,6261
SI_SE_PUEDE,115
Union_con_Fortaleza,166
Todos_somos_Colombia,554
Coalicion_Decencia,8233
Voto_Blanco_Nacional,10636
AICO,54
ASI,218
MAIS,309
SOBERANIA,12
MIA,39
RenovacionEtnica,65
CASIYOUREN,28
Voto_Blanco_Indigena,3254
Nulos,6407
No_Marcados,2190
Potencial Votantes,402673
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_001_XX_XX_X_8113_F_49.pdf
