Localidad:USME,Votacion:
P_Liberal,6921
P_Conservador,4865
P_Opcion_Ciudadana,1294
P_Cambio_Radical,8242
P_Alianza_Verde,9230
P_MIRA,3969
P_de_la_U,6209
Polo,4545
P_Centro_Democratico,10642
P_SOMOS,508
FARC,548
Colombia_Justa_Libres,5363
SI_SE_PUEDE,108
Union_con_Fortaleza,254
Todos_somos_Colombia,472
Coalicion_Decencia,11270
Voto_Blanco_Nacional,7552
AICO,61
ASI,84
MAIS,670
SOBERANIA,15
MIA,25
RenovacionEtnica,55
CASIYOUREN,5
Voto_Blanco_Indigena,3929
Nulos,8385
No_Marcados,4701
Potencial Votantes,219701
Referencia:,http://eleccionescolombia.co/archivos/divulgacion/E26_SEN_3_16_001_005_XX_XX_X_8117_F_49.pdf
